ENSMUSG00000000001	3670
ENSMUSG00000000003	0
ENSMUSG00000000028	116
ENSMUSG00000000031	0
ENSMUSG00000000037	11
ENSMUSG00000000049	1
ENSMUSG00000000056	1038
ENSMUSG00000000058	0
ENSMUSG00000000078	5816
ENSMUSG00000000085	731
ENSMUSG00000000088	388
ENSMUSG00000000093	17
ENSMUSG00000000094	1
ENSMUSG00000000103	0
ENSMUSG00000000120	1
ENSMUSG00000000125	3
ENSMUSG00000000126	0
ENSMUSG00000000127	2
ENSMUSG00000000131	7645
ENSMUSG00000000134	1081
ENSMUSG00000000142	1529
ENSMUSG00000000148	1351
ENSMUSG00000000149	510
ENSMUSG00000000154	1
ENSMUSG00000000157	0
ENSMUSG00000000159	0
ENSMUSG00000000167	7
ENSMUSG00000000168	995
ENSMUSG00000000171	1328
ENSMUSG00000000182	0
ENSMUSG00000000183	0
ENSMUSG00000000184	10158
ENSMUSG00000000194	1051
ENSMUSG00000000197	0
ENSMUSG00000000202	2
ENSMUSG00000000204	4
ENSMUSG00000000214	0
ENSMUSG00000000215	0
ENSMUSG00000000216	0
ENSMUSG00000000223	8
ENSMUSG00000000244	2449
ENSMUSG00000000247	1
ENSMUSG00000000248	1
ENSMUSG00000000253	1
ENSMUSG00000000263	0
ENSMUSG00000000266	3
ENSMUSG00000000275	2972
ENSMUSG00000000276	1060
ENSMUSG00000000278	198
ENSMUSG00000000282	1504
ENSMUSG00000000290	17836
ENSMUSG00000000295	518
ENSMUSG00000000296	0
ENSMUSG00000000301	93
ENSMUSG00000000303	57
ENSMUSG00000000305	1
ENSMUSG00000000308	4
ENSMUSG00000000317	1
ENSMUSG00000000318	3
ENSMUSG00000000320	3
ENSMUSG00000000325	55
ENSMUSG00000000326	575
ENSMUSG00000000339	354
ENSMUSG00000000340	710
ENSMUSG00000000346	12687
ENSMUSG00000000355	676
ENSMUSG00000000359	0
ENSMUSG00000000365	4
ENSMUSG00000000374	2688
ENSMUSG00000000378	6947
ENSMUSG00000000381	0
ENSMUSG00000000384	2878
ENSMUSG00000000385	0
ENSMUSG00000000386	628
ENSMUSG00000000392	14
ENSMUSG00000000394	0
ENSMUSG00000000399	1642
ENSMUSG00000000402	4
ENSMUSG00000000409	31025
ENSMUSG00000000411	4
ENSMUSG00000000416	0
ENSMUSG00000000420	4381
ENSMUSG00000000435	1
ENSMUSG00000000439	723
ENSMUSG00000000440	7
ENSMUSG00000000441	5430
ENSMUSG00000000486	22147
ENSMUSG00000000489	30
ENSMUSG00000000530	400
ENSMUSG00000000531	240
ENSMUSG00000000532	1816
ENSMUSG00000000538	1038
ENSMUSG00000000544	0
ENSMUSG00000000552	29
ENSMUSG00000000555	273
ENSMUSG00000000560	0
ENSMUSG00000000561	1747
ENSMUSG00000000562	7
ENSMUSG00000000563	5225
ENSMUSG00000000567	0
ENSMUSG00000000568	9715
ENSMUSG00000000579	1134
ENSMUSG00000000581	410
ENSMUSG00000000594	4534
ENSMUSG00000000600	2413
ENSMUSG00000000605	2884
ENSMUSG00000000606	0
ENSMUSG00000000617	548
ENSMUSG00000000627	1046
ENSMUSG00000000628	89
ENSMUSG00000000631	1968
ENSMUSG00000000632	5
ENSMUSG00000000673	1725
ENSMUSG00000000682	27327
ENSMUSG00000000686	126
ENSMUSG00000000690	2
ENSMUSG00000000693	18
ENSMUSG00000000701	0
ENSMUSG00000000706	1
ENSMUSG00000000708	1526
ENSMUSG00000000711	2336
ENSMUSG00000000724	2
ENSMUSG00000000730	0
ENSMUSG00000000731	2
ENSMUSG00000000732	445
ENSMUSG00000000738	2493
ENSMUSG00000000739	3
ENSMUSG00000000740	31118
ENSMUSG00000000743	2756
ENSMUSG00000000751	4812
ENSMUSG00000000753	7
ENSMUSG00000000759	4244
ENSMUSG00000000766	15
ENSMUSG00000000776	836
ENSMUSG00000000782	70424
ENSMUSG00000000787	14054
ENSMUSG00000000791	439
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	2017
ENSMUSG00000000805	0
ENSMUSG00000000811	113
ENSMUSG00000000817	5
ENSMUSG00000000823	2773
ENSMUSG00000000826	4855
ENSMUSG00000000827	945
ENSMUSG00000000838	2290
ENSMUSG00000000861	36
ENSMUSG00000000869	2
ENSMUSG00000000876	587
ENSMUSG00000000881	789
ENSMUSG00000000884	254
ENSMUSG00000000889	0
ENSMUSG00000000901	50
